escuela,region,distrito,total_matricula,curso,nivel,pct_estudiantes
AMALIA LOPEZ DE AVILA (NUEVA),ARECIBO,CAMUY,453,espa,basico,17.81
AMALIA LOPEZ DE VILA,BAYAMON,TOA BAJA,165,espa,basico,30.86
AMALIA MARIN,SAN JUAN,SAN JUAN II,380,espa,basico,52.56
AMALIA MARIN,SAN JUAN,SAN JUAN II,236,espa,basico,16.46
AMINA TIO DE MALARET,MAYAGUEZ,CABO ROJO,137,espa,basico,13.13
ANA DELIA FLORES SANTANA  VOC,HUMACAO,FAJARDO,757,espa,basico,38.4
ANA HERNANDEZ USERA,CAGUAS,GUAYAMA,171,espa,basico,23.91
ANA J CANDELAS,CAGUAS,CIDRA,490,espa,basico,41.12
ANA M. JAVARIZ,MAYAGUEZ,AGUADILLA,206,espa,basico,21.38
ANA MARIA NEGRON,PONCE,YAUCO,170,espa,basico,44.74
ANA ROQUE DE DUPREY,HUMACAO,LAS PIEDRAS,581,espa,basico,40.28
ANA ROQUE DE DUPREY,SAN JUAN,SAN JUAN II,133,espa,basico,50
ANA VALLDEJULY (JAUCA),PONCE,SANTA ISABEL,215,espa,basico,15.22
ANDRES C GONZALEZ,BAYAMON,BAYAMON,222,espa,basico,50.63
ANDRES GRILLASCA SALAS,PONCE,PONCE,265,espa,basico,59.5
ANDRES VALCARCEL,SAN JUAN,GUAYNABO,486,espa,basico,54.98
ANGEL G. QUINTERO,BAYAMON,OROCOVIS,407,espa,basico,33.51
ANGEL GELO MORALES MORALES,MAYAGUEZ,SAN SEBASTIAN,170,espa,basico,34.48
ANGEL GUERRERO LUGO,MAYAGUEZ,SAN SEBASTIAN,157,espa,basico,23.81
ANGEL MALDONADO BULA,PONCE,UTUADO,96,espa,basico,4.55
ANGEL MILLAN HUERTAS,BAYAMON,BAYAMON,259,espa,basico,31.15
ANGEL P MILLAN ROHENA,SAN JUAN,CAROLINA,773,espa,basico,53.61
ANGEL RAMOS,SAN JUAN,SAN JUAN II,342,espa,basico,40.96
ANGEL SANDIN MARTINEZ,ARECIBO,VEGA ALTA,705,espa,basico,48.63
ANGELA CALVANI,PONCE,UTUADO,206,espa,basico,29.73
ANGELA CORDERO BERNARD,PONCE,PONCE,667,espa,basico,39.17
ANGELICA GOMEZ DE BETANCOURT,ARECIBO,ARECIBO,223,espa,basico,42.68
ANGELICA TORO (NUEVA),PONCE,UTUADO,354,espa,basico,2.04
ANIBAL REYES BELEN,ARECIBO,ARECIBO,872,espa,basico,46.33
ANSELMO VILLARRUBIA,MAYAGUEZ,AGUADILLA,316,espa,basico,37.64
ANTERA ROSADO FUENTES,HUMACAO,CANOVANAS,520,espa,basico,24.21
ANTONIA MARTINEZ,MAYAGUEZ,CABO ROJO,132,espa,basico,45.24
ANTONIA SAEZ IRIZARRY,BAYAMON,TOA BAJA,209,espa,basico,22.22
ANTONIO B CAIMARY,SAN JUAN,SAN JUAN I,239,espa,basico,50.74
ANTONIO BADILLO HERNANDEZ,MAYAGUEZ,AGUADILLA,336,espa,basico,35.44
ANTONIO BADILLO HERNANDEZ,MAYAGUEZ,AGUADILLA,239,espa,basico,34.06
ANTONIO DOMINGUEZ NIEVES,CAGUAS,GURABO,186,espa,basico,43.94
ANTONIO FERNOS ISERN,HUMACAO,YABUCOA,620,espa,basico,26.6
ANTONIO GEIGEL PAREDES,MAYAGUEZ,SAN SEBASTIAN,219,espa,basico,33.71
ANTONIO GONZALEZ SUAREZ,MAYAGUEZ,AGUADILLA,266,espa,basico,25.15
ANTONIO PAOLI,PONCE,PONCE,262,espa,basico,40.34
ANTONIO PAOLI,ARECIBO,VEGA ALTA,357,espa,basico,24.79
ANTONIO R BARCELO,HUMACAO,CANOVANAS,569,espa,basico,43.75
ANTONIO REYES,ARECIBO,CAMUY,502,espa,basico,42.09
ANTONIO ROSA GUZMAN (NUEVA),HUMACAO,LAS PIEDRAS,280,espa,basico,43.46
ANTONIO S PAOLI (MUSICA),CAGUAS,GURABO,NA,espa,basico,NA
ANTONIO S PEDREIRA,MAYAGUEZ,SAN SEBASTIAN,623,espa,basico,39.87
ANTONIO S PEDREIRA (PRE-TEC),CAGUAS,GURABO,439,espa,basico,42.24
ANTONIO SARRIERA EGOZCUE,SAN JUAN,SAN JUAN II,259,espa,basico,55.32
ANTONIO TULLA TORRES,PONCE,UTUADO,163,espa,basico,15.25
ANTONIO VALERO BERNABE,HUMACAO,FAJARDO,370,espa,basico,45.14
ANTONIO VELEZ  ALVARADO,ARECIBO,MANATI,144,espa,basico,13.33
APOLO SAN ANTONIO,ARECIBO,VEGA ALTA,655,espa,basico,40.56
AQUILINO CABAN,MAYAGUEZ,AGUADILLA,361,espa,basico,36.36
ARISTIDES CALES QUIROS,PONCE,YAUCO,382,espa,basico,39.22
ARSENIO MARTINEZ,MAYAGUEZ,AGUADILLA,292,espa,basico,66.67
ARTURO LLUBERAS,PONCE,YAUCO,236,espa,basico,40.24
ASUNCION RODRIGUEZ DE SALA,PONCE,YAUCO,723,espa,basico,46.62
AUREA E RIVERA COLLAZO,PONCE,PONCE,430,espa,basico,39.02
AUREA FUENTES MENDEZ,MAYAGUEZ,SAN SEBASTIAN,102,espa,basico,39.45
AUREA QUILES CLAUDIO,PONCE,YAUCO,514,espa,basico,51.67
AURELIA QUINTERO LABOY,PONCE,SANTA ISABEL,134,espa,basico,26.51
AURELIO PEREZ MARTINEZ,BAYAMON,BAYAMON,285,espa,basico,56.25
AURORA MENDEZ CHARNECO,MAYAGUEZ,SAN SEBASTIAN,285,espa,basico,39.66
AVELINO PENA REYES,HUMACAO,LAS PIEDRAS,72,espa,basico,7.14
BARAHONA (ELEMENTAL),BAYAMON,OROCOVIS,260,espa,basico,41.13
BARRIADA CABAN,MAYAGUEZ,AGUADILLA,148,espa,basico,37.11
BARTOLOME DE LAS CASAS,MAYAGUEZ,CABO ROJO,178,espa,basico,7.29
BASILIO MILAN HERNANDEZ,BAYAMON,TOA BAJA,735,espa,basico,42.16
BELEN BLANCO DE ZEQUEIRA,HUMACAO,CANOVANAS,183,espa,basico,49.72
BELLA VISTA,SAN JUAN,SAN JUAN II,118,espa,basico,29.41
BELLAS ARTES,ARECIBO,ARECIBO,NA,espa,basico,NA
BELLAS ARTES DE PONCE,PONCE,PONCE,NA,espa,basico,NA
BENICIA VELEZ,PONCE,YAUCO,136,espa,basico,14.56
BENIGNA I CARATINI,PONCE,SANTA ISABEL,174,espa,basico,6.48
BENIGNO CARRION,CAGUAS,CIDRA,240,espa,basico,30.32
BENIGNO FERNANDEZ GARCIA,CAGUAS,CIDRA,354,espa,basico,37.91
BENITA GONZALEZ QUINONES,CAGUAS,GURABO,198,espa,basico,36.73
BENITO CEREZO VAZQUEZ,MAYAGUEZ,AGUADILLA,455,espa,basico,48.18
BENJAMIN FRANKLIN,PONCE,SANTA ISABEL,246,espa,basico,45.09
BENJAMIN HARRISON,CAGUAS,CIDRA,836,espa,basico,49.68
BERNARDA ROBLES DE HEVIA,BAYAMON,COROZAL,159,espa,basico,54.41
BERNARDINO CORDERO BERNARD,PONCE,PONCE,1182,espa,basico,48.97
BERNARDO GONZALEZ COLON,PONCE,UTUADO,346,espa,basico,38.17
BERNARDO HUYKE,BAYAMON,BAYAMON,373,espa,basico,36.08
BERTA ZALDUONDO,HUMACAO,FAJARDO,452,espa,basico,26.98
BERWIND ELEMENTAL,SAN JUAN,SAN JUAN II,217,espa,basico,41.3
BERWIND INTERMEDIA,SAN JUAN,SAN JUAN II,428,espa,basico,39.69
BERWIND SUPERIOR,SAN JUAN,SAN JUAN II,428,espa,basico,67.24
BETHZAIDA VELAZQUEZ SUPERIOR,PONCE,PONCE,370,espa,basico,41.38
BETTY ROSADO DE VEGA,SAN JUAN,GUAYNABO,193,espa,basico,36.27
BLANCA MALARET,MAYAGUEZ,CABO ROJO,406,espa,basico,25.21
BOLIVAR PAGAN,SAN JUAN,SAN JUAN II,242,espa,basico,35.9
BONIFACIO SANCHEZ JIMENEZ,CAGUAS,BARRANQUITAS,406,espa,basico,36
BRAULIO AYALA PEREZ,HUMACAO,LAS PIEDRAS,142,espa,basico,6.15
BRAULIO DUENO COLON,BAYAMON,BAYAMON,286,espa,basico,49.47
BRYAN,MAYAGUEZ,MAYAGUEZ,84,espa,basico,47.73
CALZADA,HUMACAO,YABUCOA,148,espa,basico,44.78
CAMILO VALLES MATIENZO,HUMACAO,CANOVANAS,402,espa,basico,25.63
CANABON ABAJO,CAGUAS,BARRANQUITAS,108,espa,basico,2.17
CANDIDO BERRIOS,HUMACAO,LAS PIEDRAS,356,espa,basico,34.58
CAPITANEJO,PONCE,PONCE,143,espa,basico,36.14
CARLOS ALVERIO PIMENTEL,BAYAMON,OROCOVIS,111,espa,basico,9.26
CARLOS ESCOBAR LOPEZ,HUMACAO,CANOVANAS,247,espa,basico,53.73
CARLOS F DANIELS (VOC. DE AREA),SAN JUAN,CAROLINA,NA,espa,basico,28.95
CARLOS ORAMA PADILLA,BAYAMON,BAYAMON,367,espa,basico,31.53
CARMEN APONTE,PONCE,UTUADO,81,espa,basico,5.71
CARMEN ARZUAGA DE RIVERA,HUMACAO,LAS PIEDRAS,347,espa,basico,35.66
CARMEN BARROSO MORALES,BAYAMON,TOA BAJA,227,espa,basico,5.26
CARMEN BELEN VEIGA,PONCE,SANTA ISABEL,457,espa,basico,44.88
CARMEN BENITEZ,HUMACAO,LAS PIEDRAS,277,espa,basico,36.48
CARMEN BORRAS BATTISTINI,MAYAGUEZ,CABO ROJO,NA,espa,basico,NA
CARMEN CASASUS MARTI,MAYAGUEZ,AGUADILLA,362,espa,basico,14.52
CARMEN D ORTIZ ORTIZ(SU SUMIDERO),CAGUAS,CIDRA,485,espa,basico,46.48
CARMEN FELICIANO CARRERA,HUMACAO,CANOVANAS,389,espa,basico,42.67
CENTRO DE ADIESTRAMIENTO Y BELLAS ARTES,MAYAGUEZ,AGUADILLA,NA,espa,basico,NA
CARMEN GOMEZ TEJERA,SAN JUAN,SAN JUAN II,199,espa,basico,50.86
CARMEN GOMEZ TEJERA,BAYAMON,BAYAMON,415,espa,basico,40.63
CARMEN NOELIA PERAZA TOLEDO,ARECIBO,ARECIBO,234,espa,basico,1.28
CARMEN PILAR SANTOS,HUMACAO,LAS PIEDRAS,221,espa,basico,47.37
CARMEN SANABRIA DE FIGUEROA,SAN JUAN,SAN JUAN II,171,espa,basico,19.44
CARMEN SOLA DE PEREIRA,PONCE,PONCE,336,espa,basico,44.65
CASIANO CEPEDA (INTERMEDIA),HUMACAO,CANOVANAS,290,espa,basico,47.37
CASIANO CEPEDA (SUPERIOR),HUMACAO,CANOVANAS,431,espa,basico,57.5
CASTILLO,MAYAGUEZ,MAYAGUEZ,110,espa,basico,24.59
CAYETANO SANCHEZ,CAGUAS,GUAYAMA,123,espa,basico,39.47
CECILIO LEBRON RAMOS,HUMACAO,YABUCOA,352,espa,basico,42.06
CEFERINO COLON LUCCA,PONCE,YAUCO,94,espa,basico,1.89
CELSO GONZALEZ VAILLANT,HUMACAO,CANOVANAS,349,espa,basico,44.83
CENTRAL ARTES VISUALES,SAN JUAN,SAN JUAN I,682,espa,basico,13.7
CENTRO ADIESTRAMIENTO VOCACIONAL,CAGUAS,CIDRA,117,espa,basico,2.5
CENTRO COMUNAL,ARECIBO,VEGA ALTA,194,espa,basico,25.6
CENTRO DE ADIESTRAMIENTO,ARECIBO,VEGA ALTA,150,espa,basico,10.26
CENTRO EUGENIO MARIA DE HOSTOS,SAN JUAN,SAN JUAN I,128,espa,basico,48.39
CENTRO VOCACIONAL ESPECIAL,MAYAGUEZ,AGUADILLA,123,espa,basico,36.84
CERRILLO HOYOS,PONCE,PONCE,128,espa,basico,33.85
CERRO GORDO MEDINA,MAYAGUEZ,SAN SEBASTIAN,138,espa,basico,40.45
CHARLES E MINER,CAGUAS,GURABO,276,espa,basico,12.7
CHARLES T IRIZARRY,MAYAGUEZ,MAYAGUEZ,117,espa,basico,51.35
CIPRIANO MANRIQUE,CAGUAS,GURABO,234,espa,basico,24.07
CLAUDIO FERRE COTTO,CAGUAS,BARRANQUITAS,224,espa,basico,44.35
CLEMENCIA MELENDEZ,CAGUAS,CIDRA,346,espa,basico,41.2
CLEMENTE RAMIREZ DE ARELLANO,ARECIBO,MANATI,285,espa,basico,14.94
COLEEN VAZQUEZ URRUTIA,BAYAMON,COROZAL,343,espa,basico,44.82
CONCEPCION MENDEZ CANO,CAGUAS,GURABO,226,espa,basico,33.98
CONCEPCION PEREZ HERNANDEZ,ARECIBO,MANATI,88,espa,basico,20
CONRADO RODRIGUEZ,MAYAGUEZ,AGUADILLA,199,espa,basico,40.86
CONSEJO,PONCE,YAUCO,114,espa,basico,21.88
CONSUELO LOPEZ BENET,CAGUAS,CIDRA,142,espa,basico,5.08
CONSUMO,MAYAGUEZ,MAYAGUEZ,101,espa,basico,38.24
COQUI (INTERMEDIA),CAGUAS,GUAYAMA,161,espa,basico,35.29
COTTO (ANEXO),ARECIBO,ARECIBO,26,espa,basico,20
CRISTOBAL COLON,BAYAMON,BAYAMON,207,espa,basico,46.43
CRISTOBAL DEL CAMPO,HUMACAO,YABUCOA,298,espa,basico,42
CRISTOBAL SANTANA MELECIO (NUEVA),ARECIBO,VEGA ALTA,165,espa,basico,41.23
CRISTOBAL VICENS,ARECIBO,MANATI,85,espa,basico,60.98
CROEC-CENTRO RESIDENCIAL DE OPORTUNIDADES,HUMACAO,FAJARDO,NA,espa,basico,NA
CROEM,MAYAGUEZ,MAYAGUEZ,175,espa,basico,0
CRUZ ROSA RIVAS,ARECIBO,MANATI,382,espa,basico,24.86
CRUZ SALGUERO TORRES,SAN JUAN,CAROLINA,220,espa,basico,46.15
CUESTA DE PIEDRAS,MAYAGUEZ,MAYAGUEZ,210,espa,basico,46.32
DALILA TORRES,PONCE,YAUCO,139,espa,basico,9.38
DAMIAN ABAJO,BAYAMON,OROCOVIS,81,espa,basico,0
DANIEL DIAZ SANTANA (JAGUAS),CAGUAS,GURABO,147,espa,basico,17.11
DANIEL SERRANO RIVERA,PONCE,SANTA ISABEL,306,espa,basico,36.73
DANIEL VELEZ SOTO,ARECIBO,CAMUY,356,espa,basico,40.32
DAVID G FARRAGUT,MAYAGUEZ,MAYAGUEZ,205,espa,basico,50
DELIA DAVILA DE CABAN,BAYAMON,TOA BAJA,231,espa,basico,34.75
DESIDERIO MENDEZ RODRIGUEZ (MAIZALES),HUMACAO,FAJARDO,117,espa,basico,57.63
DIEGO VAZQUEZ,CAGUAS,GURABO,198,espa,basico,35.59
DOLORES ALVAREZ,BAYAMON,BAYAMON,225,espa,basico,38.46
DOLORES GOMEZ  DE ROMAN,ARECIBO,ARECIBO,206,espa,basico,38.94
DOLORES GONZALEZ,CAGUAS,GUAYAMA,144,espa,basico,35
DOMINGO APONTE COLLAZO,ARECIBO,CAMUY,1027,espa,basico,45
DOMINGO MASSOL,PONCE,UTUADO,114,espa,basico,46.43
DOMINGO NIEVES ORTIZ (PALMA SOLA),HUMACAO,CANOVANAS,168,espa,basico,13.04
DOMINGO PIETRI RUIZ,PONCE,UTUADO,425,espa,basico,40.63
DON MANOLO RIVERA,BAYAMON,COROZAL,166,espa,basico,37.63
DR AGUSTIN STAHL,MAYAGUEZ,AGUADILLA,150,espa,basico,49
DR ALFREDO M AGUAYO,PONCE,PONCE,268,espa,basico,51.96
DR ANTONIO S PEDREIRA,SAN JUAN,SAN JUAN I,288,espa,basico,17.36
DR CARLOS GONZALEZ,MAYAGUEZ,AGUADILLA,1094,espa,basico,20.78
DR CAYETANO COLL Y TOSTE,ARECIBO,ARECIBO,491,espa,basico,1.19
DR EFRAIN GONZALEZ TEJERA,PONCE,UTUADO,188,espa,basico,1.59
DR EFRAIN SANCHEZ HIDALGO,MAYAGUEZ,SAN SEBASTIAN,436,espa,basico,35.14
DR EFRAIN SANCHEZ HIDALGO,BAYAMON,TOA BAJA,295,espa,basico,43.33
DR FACUNDO BUESO,SAN JUAN,SAN JUAN I,429,espa,basico,55.56
DR FRANCISCO HERNANDEZ Y GAETAN,SAN JUAN,SAN JUAN I,214,espa,basico,19.66
DR FRANCISCO SUSONI,ARECIBO,ARECIBO,243,espa,basico,9.41
DR FRANCISCO VAZQUEZ,ARECIBO,MANATI,288,espa,basico,45.21
DR HERIBERTO DOMENECH,MAYAGUEZ,SAN SEBASTIAN,715,espa,basico,45.16
DR HIRAM GONZALEZ,BAYAMON,BAYAMON,482,espa,basico,34.92
DR JOSE C BARBOSA,PONCE,PONCE,211,espa,basico,44
DR JOSE CELSO BARBOSA,MAYAGUEZ,CABO ROJO,165,espa,basico,22.37
DR JOSE CELSO BARBOSA,SAN JUAN,SAN JUAN I,257,espa,basico,51.2
DR JOSE M LAZARO,SAN JUAN,CAROLINA,731,espa,basico,48.72
DR JOSE N GANDARA,CAGUAS,BARRANQUITAS,567,espa,basico,35.29
DR JOSE PADIN,BAYAMON,BAYAMON,93,espa,basico,5
DR JOSE PADIN,BAYAMON,COROZAL,427,espa,basico,39.19
DR JUAN JOSE OSUNA,CAGUAS,GURABO,404,espa,basico,54
DR JULIO J HENNA,SAN JUAN,SAN JUAN I,299,espa,basico,58.91
DR MAXIMO DONOSO SANCHEZ,PONCE,SANTA ISABEL,492,espa,basico,41.4
DR MODESTO RIVERA RIVERA,SAN JUAN,CAROLINA,240,espa,basico,46.11
DR PEDRO ALBIZU CAMPOS,ARECIBO,CAMUY,243,espa,basico,37.28
DR PEDRO ALBIZU CAMPOS,CAGUAS,CIDRA,591,espa,basico,39.04
DR PEDRO ALBIZU CAMPOS,HUMACAO,CANOVANAS,272,espa,basico,36.41
DR PEDRO ALBIZU CAMPOS,PONCE,SANTA ISABEL,360,espa,basico,12.07
DR PEDRO ALBIZU CAMPOS,PONCE,PONCE,159,espa,basico,41.94
DR PEDRO ALBIZU CAMPOS,BAYAMON,TOA BAJA,797,espa,basico,42.11
DR PEDRO PEREA FAJARDO,MAYAGUEZ,MAYAGUEZ,1009,espa,basico,46.83
DR PILA,PONCE,PONCE,513,espa,basico,52.25
DR RAFAEL LOPEZ LANDRON,CAGUAS,GUAYAMA,373,espa,basico,55.42
DR RAFAEL PUJALS,PONCE,PONCE,460,espa,basico,17.25
DR RAMON EMETERIO BETANCES,CAGUAS,CIDRA,647,espa,basico,41.99
DR RAMON MELLADO PARSONS,SAN JUAN,CAROLINA,357,espa,basico,29.33
DR SANTIAGO VEVE CALZADA,HUMACAO,FAJARDO,582,espa,basico,54.74
DR SANTOS J SEPULVEDA,BAYAMON,BAYAMON,309,espa,basico,1.15
DR. AGUSTIN STAHL,BAYAMON,BAYAMON,659,espa,basico,55.48
DR. JOSE ANTONIO DAVILA,BAYAMON,BAYAMON,521,espa,basico,42.51
DRA CARMENDELIA COLON MARTINEZ,CAGUAS,BARRANQUITAS,420,espa,basico,32.26
DRA CONCHITA CUEVAS,CAGUAS,GURABO,734,espa,basico,42.63
DRA MARIA SOCORRO LACOT,CAGUAS,GUAYAMA,1191,espa,basico,46.54
DRA MARIA T DELGADO DE MARCANO,HUMACAO,YABUCOA,586,espa,basico,41.12
EASTON,ARECIBO,MANATI,152,espa,basico,20.93
ECOLOGICA DE CULEBRA,HUMACAO,FAJARDO,169,espa,basico,31.11
EDMUNDO DEL VALLE CRUZ,HUMACAO,CANOVANAS,375,espa,basico,40.44
EDUARDO GARCIA CARRILLO,HUMACAO,CANOVANAS,255,espa,basico,45.61
EDUARDO J SALDANA,SAN JUAN,CAROLINA,279,espa,basico,45.95
EDUARDO NEUMANN GANDIA,PONCE,PONCE,344,espa,basico,47.62
EDUCACION BILINGUE LUIS MUNOZ IGLESIAS,CAGUAS,CIDRA,371,espa,basico,8.62
EL CONQUISTADOR,SAN JUAN,GUAYNABO,278,espa,basico,25.28
EL FARALLON,CAGUAS,BARRANQUITAS,166,espa,basico,18.42
EL PARQUE,HUMACAO,YABUCOA,177,espa,basico,7.41
EL SENORIAL,SAN JUAN,SAN JUAN II,250,espa,basico,54.03
ELADIO J VEGA,MAYAGUEZ,AGUADILLA,139,espa,basico,35.42
ELADIO TIRADO LOPEZ,MAYAGUEZ,AGUADILLA,410,espa,basico,38.26
ELBA LUGO CARRION,ARECIBO,ARECIBO,341,espa,basico,24.08
ELEANOR ROOSEVELT,SAN JUAN,SAN JUAN I,279,espa,basico,46.94
ELEM BO HIGUILLAR (ECOLOGICA),ARECIBO,VEGA ALTA,282,espa,basico,31.89
ELEMENTAL ALFONSO LOPEZ GARCIA,ARECIBO,VEGA ALTA,143,espa,basico,44.04
ELEMENTAL BARRIO LAS 400,HUMACAO,CANOVANAS,234,espa,basico,38.81
ELEMENTAL BO CEIBA,CAGUAS,CIDRA,225,espa,basico,51.82
ELEMENTAL NUEVA,SAN JUAN,SAN JUAN II,228,espa,basico,25.42
ELEMENTAL TALLABOA ALTA,PONCE,YAUCO,131,espa,basico,45.16
ELEMENTAL URBANA,BAYAMON,OROCOVIS,352,espa,basico,39.38
ELEMENTAL URBANA,ARECIBO,VEGA ALTA,206,espa,basico,39.58
ELEMENTAL URBANA K-6,CAGUAS,CIDRA,549,espa,basico,27.3
ELEMENTAL URBANA NUEVA,HUMACAO,FAJARDO,361,espa,basico,49.71
ELEMENTAL URBANA NUEVA,MAYAGUEZ,CABO ROJO,421,espa,basico,41.26
ELI RAMOS ROSARIO,ARECIBO,MANATI,516,espa,basico,35.09
ELISA DAVILA VAZQUEZ,ARECIBO,VEGA ALTA,185,espa,basico,34.26
ELOISA PASCUAL,CAGUAS,GURABO,649,espa,basico,49.36
ELPIDIO H RIVERA,MAYAGUEZ,MAYAGUEZ,376,espa,basico,47.39
ELSA E COUTO ANNONI,PONCE,YAUCO,108,espa,basico,21.43
ELVIRA  VICENTE,PONCE,YAUCO,314,espa,basico,38.33
ELVIRA M COLON,PONCE,SANTA ISABEL,475,espa,basico,47.46
EMERITA LEON ELEMENTAL,CAGUAS,CIDRA,590,espa,basico,45
EMILIANO FIGUEROA TORRES,HUMACAO,CANOVANAS,86,espa,basico,54.29
EMILIO CASTELAR,SAN JUAN,SAN JUAN I,157,espa,basico,8.54
EMILIO DEL TORO CUEVAS,SAN JUAN,SAN JUAN II,149,espa,basico,21.82
EMILIO R DELGADO,BAYAMON,COROZAL,1014,espa,basico,42.86
EPIFANIO ESTRADA,MAYAGUEZ,SAN SEBASTIAN,181,espa,basico,31.48
EPIFANIO FERNANDEZ VANGA,BAYAMON,BAYAMON,162,espa,basico,36.36
ERNESTINA BRACERO,BAYAMON,TOA BAJA,235,espa,basico,43.75
ERNESTINA MENDEZ,MAYAGUEZ,SAN SEBASTIAN,696,espa,basico,36.68
ERNESTO JUAN FONFRIAS,BAYAMON,TOA BAJA,111,espa,basico,32.08
ERNESTO RAMOS ANTONINI,PONCE,YAUCO,401,espa,basico,11.26
ERNESTO RAMOS ANTONINI,PONCE,PONCE,397,espa,basico,31.47
ERNESTO RAMOS ANTONINI,SAN JUAN,SAN JUAN II,177,espa,basico,48.54
ERNESTO RAMOS ANTONINI (MUSICA),SAN JUAN,SAN JUAN I,583,espa,basico,18.87
ESCUELA DE BELLA ARTES,HUMACAO,LAS PIEDRAS,481,espa,basico,11.11
ESCUELA ELEMENTAL NUEVA,MAYAGUEZ,MAYAGUEZ,439,espa,basico,23.49
ESCUELA LIBRE DE MUSICA,HUMACAO,LAS PIEDRAS,NA,espa,basico,NA
ESCUELA LIBRE DE MUSICA Y BELLA ARTES ERNESTO RAMOS ANTONINI,MAYAGUEZ,MAYAGUEZ,NA,espa,basico,NA
ESPECIALIZADA DE BELLAS ARTES,CAGUAS,CIDRA,238,espa,basico,14
ESPECIALIZADA EN CIENCIAS Y MATEMATICAS (CROEV),PONCE,SANTA ISABEL,NA,espa,basico,NA
ESPERANZA GONZALEZ,BAYAMON,OROCOVIS,198,espa,basico,17.17
ESPINO,MAYAGUEZ,AGUADILLA,266,espa,basico,46.91
ESPINOSA KUILAN,ARECIBO,VEGA ALTA,139,espa,basico,37.72
ESTEBAN ROSADO BAEZ,MAYAGUEZ,MAYAGUEZ,428,espa,basico,50.78
ESTER FELICIANO MENDOZA,MAYAGUEZ,AGUADILLA,376,espa,basico,50.4
ESTHER RIVERA,PONCE,SANTA ISABEL,186,espa,basico,15
EUGENIO BRAC,HUMACAO,FAJARDO,334,espa,basico,35.29
